Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Normalized Title,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_signature,Chorus_hit,Sections,Target
2015-01-28,Sugar,Maroon 5,8,8,1,,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-02-04,Sugar,Maroon 5,6,8,6,2,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-02-11,Sugar,Maroon 5,5,6,5,3,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-02-18,Sugar,Maroon 5,4,5,4,4,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-02-25,Sugar,Maroon 5,5,4,4,5,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-03-04,Sugar,Maroon 5,4,5,4,6,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-03-11,Sugar,Maroon 5,3,4,3,7,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-03-18,Sugar,Maroon 5,3,3,3,8,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-03-25,Sugar,Maroon 5,2,3,2,9,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
2015-04-01,Sugar,Maroon 5,2,2,2,10,sugar,Sugar,0.748,0.716,1,-9.388,1,0.0336,0.0472,0.0,0.0924,0.896,120.039,234440,4,72.557,5,1
